Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG09.20.1,AG09,1,2775780,6/9/2020 10:22,7/11/2020 13:25,2020,0,0
AG10.13.1,AG10,1,7156020,5/29/2013 12:53,8/20/2013 8:40,2013,0,0
AG10.14.1,AG10,1,7942560,6/17/2014 10:56,9/17/2014 9:12,2014,1,0
AG10.15.1,AG10,1,7689600,6/18/2015 10:20,9/15/2015 10:20,2015,1,0
AG10.16.1,AG10,1,0,8/5/2016 13:00,8/5/2016 13:00,2016,0,0
AG10.18.1,AG10,1,8421240,6/19/2018 12:37,9/24/2018 23:51,2018,0,0
AG10.19.1,AG10,1,6911220,5/27/2019 11:42,8/15/2019 11:29,2019,1,0
AG10.20.1,AG10,1,3795420,6/9/2020 12:00,7/23/2020 10:17,2020,0,0
AG11.13.1,AG11,1,6999300,5/31/2013 9:50,8/20/2013 10:05,2013,0,0
AG11.14.1,AG11,1,7947600,6/17/2014 10:00,9/17/2014 9:40,2014,1,0
AG11.15.1,AG11,1,8298600,6/11/2015 10:35,9/15/2015 11:45,2015,1,0
AG11.16.1,AG11,1,6297780,8/5/2016 12:09,10/17/2016 9:32,2016,0,0
AG11.18.1,AG11,1,9847920,6/19/2018 11:08,10/11/2018 10:40,2018,0,0
AG11.19.1,AG11,1,6911880,5/27/2019 10:46,8/15/2019 10:44,2019,1,0
AG11.20.1,AG11,1,3801180,6/9/2020 10:22,7/23/2020 10:15,2020,0,0
AG12.13.1,AG12,1,3546000,6/6/2013 9:30,7/17/2013 10:30,2013,0,0
AG13.13.1,AG13,1,6564600,6/6/2013 16:00,8/21/2013 15:30,2013,0,0
AG13.14.1,AG13,1,8532300,6/11/2014 14:55,9/18/2014 9:00,2014,1,0
AG13.15.1,AG13,1,8711100,6/2/2015 14:30,9/11/2015 10:15,2015,1,0
AG13.16.1,AG13,1,4398120,8/8/2016 10:48,9/28/2016 8:30,2016,0,0
AG13.18.1,AG13,1,338520,7/11/2018 10:28,7/15/2018 8:30,2018,0,0
AG13.18.2,AG13,2,2754300,7/31/2018 10:55,9/1/2018 8:00,2018,0,0
AG13.19.1,AG13,1,1632840,5/25/2019 11:46,6/13/2019 9:20,2019,1,0
AG13.19.2,AG13,2,550920,6/27/2019 10:02,7/3/2019 19:04,2019,1,0
AG13.19.3,AG13,3,0,7/11/2019 10:16,7/11/2019 10:16,2019,1,0
AG13.19.4,AG13,4,337500,7/25/2019 10:45,7/29/2019 8:30,2019,1,0
AG13.20.1,AG13,1,3807600,6/8/2020 10:20,7/22/2020 12:00,2020,0,0
AG14.13.1,AG14,1,6486480,6/7/2013 9:42,8/21/2013 11:30,2013,0,0
AG14.14.1,AG14,1,8983860,5/26/2014 10:55,9/7/2014 10:26,2014,1,0
AG14.15.1,AG14,1,8551620,6/13/2015 11:33,9/20/2015 11:00,2015,1,0
AG14.16.1,AG14,1,4558200,8/3/2016 14:20,9/25/2016 8:30,2016,0,0
AG14.18.1,AG14,1,2753820,5/29/2018 11:33,6/30/2018 8:30,2018,0,0
AG14.18.2,AG14,2,7627080,7/10/2018 9:49,10/6/2018 16:27,2018,0,0
AG14.19.1,AG14,1,1565520,5/23/2019 8:36,6/10/2019 11:28,2019,1,0
AG14.19.2,AG14,2,5270700,6/20/2019 8:54,8/20/2019 8:59,2019,1,0
AG14.20.1,AG14,1,2762160,6/18/2020 10:20,7/20/2020 9:36,2020,0,0
AG15.13.1,AG15,1,6312300,6/7/2013 13:20,8/19/2013 14:45,2013,0,0
AG15.14.1,AG15,1,9096300,6/14/2014 10:15,9/27/2014 17:00,2014,1,0
AG15.15.1,AG15,1,8551260,6/13/2015 9:54,9/20/2015 9:15,2015,1,0
AG15.16.1,AG15,1,1632000,5/3/2016 14:00,5/22/2016 11:20,2016,0,0
AG15.18.1,AG15,1,7264260,6/13/2018 9:50,9/5/2018 11:41,2018,0,0
AG15.18.2,AG15,2,194220,9/8/2018 9:16,9/10/2018 15:13,2018,0,0
AG15.19.1,AG15,1,3012720,5/23/2019 11:38,6/27/2019 8:30,2019,1,0
AG15.19.2,AG15,2,2606040,7/6/2019 11:21,8/5/2019 15:15,2019,1,0
AG15.20.1,AG15,1,3538440,7/25/2020 14:26,9/4/2020 13:20,2020,0,0
AG16.13.1,AG16,1,6128220,6/9/2013 12:13,8/19/2013 10:30,2013,0,0
AG16.14.1,AG16,1,7874400,6/12/2014 9:50,9/11/2014 13:10,2014,1,0
AG16.15.1,AG16,1,9236700,6/4/2015 12:05,9/19/2015 9:50,2015,1,0
AG16.16.1,AG16,1,2788320,5/14/2016 10:13,6/15/2016 16:45,2016,0,0
AG16.18.1,AG16,1,7679040,6/13/2018 13:05,9/10/2018 10:09,2018,0,0
AG16.19.1,AG16,1,2299320,5/24/2019 10:39,6/20/2019 1:21,2019,1,0
AG16.19.2,AG16,2,5446860,6/21/2019 11:14,8/23/2019 12:15,2019,1,0
AG16.20.1,AG16,1,3539520,7/25/2020 10:51,9/4/2020 10:03,2020,0,0
AG17.13.1,AG17,1,6219960,6/10/2013 8:34,8/21/2013 8:20,2013,0,0
AG17.14.1,AG17,1,8033460,6/7/2014 10:50,9/8/2014 10:21,2014,1,0
AG17.15.1,AG17,1,8792340,6/11/2015 15:21,9/21/2015 9:40,2015,1,0
AG17.16.1,AG17,1,1685280,8/4/2016 9:51,8/23/2016 21:59,2016,0,0
AG17.18.1,AG17,1,2586720,6/7/2018 11:38,7/7/2018 10:10,2018,0,0
AG17.18.2,AG17,2,4754460,7/9/2018 9:42,9/2/2018 10:23,2018,0,0
AG17.19.1,AG17,1,2127840,5/22/2019 9:19,6/16/2019 0:23,2019,1,0
AG17.19.2,AG17,2,5264220,6/19/2019 10:53,8/19/2019 9:10,2019,1,0
AG17.20.1,AG17,1,3550560,6/10/2020 10:40,7/21/2020 12:56,2020,0,0
AG19.13.1,AG19,1,5964600,6/12/2013 11:40,8/20/2013 12:30,2013,0,0
AG19.14.1,AG19,1,7432860,6/15/2014 10:20,9/9/2014 11:01,2014,1,0
