Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG35.13.1,AG35,1,5107020,6/27/2013 9:43,8/25/2013 12:20,2013,0,1
AG35.14.1,AG35,1,8193120,5/31/2014 15:45,9/3/2014 11:37,2014,1,1
AG35.15.1,AG35,1,7843320,6/14/2015 15:18,9/13/2015 10:00,2015,1,1
AG35.16.1,AG35,1,425580,7/21/2016 10:17,7/26/2016 8:30,2016,0,1
AG35.18.1,AG35,1,4062540,6/28/2018 14:30,8/14/2018 14:59,2018,0,1
AG35.19.1,AG35,1,1807680,5/30/2019 10:22,6/20/2019 8:30,2019,1,1
AG35.19.2,AG35,2,513600,6/29/2019 9:50,7/5/2019 8:30,2019,1,1
AG35.19.3,AG35,3,2593380,7/13/2019 9:09,8/12/2019 9:32,2019,1,1
AG35.20.1,AG35,1,3538620,7/28/2020 12:02,9/7/2020 10:59,2020,0,1
AG36.13.1,AG36,1,4146420,7/11/2013 10:15,8/28/2013 10:02,2013,0,1
AG36.14.1,AG36,1,6645000,6/28/2014 12:50,9/13/2014 10:40,2014,1,1
AG36.15.1,AG36,1,6486600,6/30/2015 9:40,9/13/2015 11:30,2015,1,1
AG36.16.1,AG36,1,1374780,5/18/2016 10:37,6/3/2016 8:30,2016,0,1
AG36.18.1,AG36,1,7326420,6/26/2018 12:53,9/19/2018 8:00,2018,0,1
AG36.19.1,AG36,1,3276900,6/1/2019 10:15,7/9/2019 8:30,2019,1,1
AG36.19.2,AG36,2,424440,7/15/2019 10:36,7/20/2019 8:30,2019,1,1
AG36.19.3,AG36,3,425880,7/28/2019 10:12,8/2/2019 8:30,2019,1,1
AG36.20.1,AG36,1,3540120,7/28/2020 10:24,9/7/2020 9:46,2020,0,1
AG37.13.1,AG37,1,4054620,7/11/2013 12:05,8/27/2013 10:22,2013,0,1
AG37.14.1,AG37,1,6821100,6/27/2014 11:10,9/14/2014 9:55,2014,1,1
AG37.15.1,AG37,1,7668900,6/27/2015 15:30,9/24/2015 9:45,2015,1,1
AG37.16.1,AG37,1,2406900,5/18/2016 11:55,6/15/2016 8:30,2016,0,1
AG38.13.1,AG38,1,4048800,7/11/2013 13:00,8/27/2013 9:40,2013,0,1
AG38.14.1,AG38,1,6823380,6/27/2014 9:50,9/14/2014 9:13,2014,1,1
AG38.15.1,AG38,1,7672500,6/27/2015 14:00,9/24/2015 9:15,2015,1,1
AG38.16.1,AG38,1,3357720,5/19/2016 10:02,6/27/2016 6:44,2016,0,1
AG39.13.1,AG39,1,3970200,7/12/2013 10:08,8/27/2013 8:58,2013,0,1
AG39.14.1,AG39,1,6827880,6/27/2014 8:45,9/14/2014 9:23,2014,1,1
AG39.15.1,AG39,1,7669140,6/27/2015 14:26,9/24/2015 8:45,2015,1,1
AG39.16.1,AG39,1,1810500,5/19/2016 9:35,6/9/2016 8:30,2016,0,1
AG40.13.1,AG40,1,3796620,7/12/2013 13:00,8/25/2013 11:37,2013,0,1
AG40.14.1,AG40,1,6653400,6/29/2014 11:40,9/14/2014 11:50,2014,1,1
AG40.15.1,AG40,1,8640000,6/15/2015 14:30,9/23/2015 14:30,2015,1,1
AG40.16.1,AG40,1,1899120,7/21/2016 10:02,8/12/2016 9:34,2016,0,1
AG40.18.1,AG40,1,2739600,6/28/2018 15:30,7/30/2018 8:30,2018,0,1
AG40.18.2,AG40,2,2070180,8/1/2018 8:57,8/25/2018 8:00,2018,0,1
AG40.19.1,AG40,1,2414400,5/30/2019 9:50,6/27/2019 8:30,2019,1,1
AG40.19.2,AG40,2,169920,6/29/2019 9:18,7/1/2019 8:30,2019,1,1
AG40.19.3,AG40,3,300,7/13/2019 8:42,7/13/2019 8:47,2019,1,1
AG40.19.4,AG40,4,1381260,7/27/2019 9:30,8/12/2019 9:11,2019,1,1
AG40.20.1,AG40,1,3537000,7/28/2020 12:43,9/7/2020 11:13,2020,0,1
AG41.13.1,AG41,1,3789000,7/12/2013 14:20,8/25/2013 10:50,2013,0,1
AG41.14.1,AG41,1,6658260,6/29/2014 10:05,9/14/2014 11:36,2014,1,1
AG41.15.1,AG41,1,9351000,6/7/2015 8:30,9/23/2015 14:00,2015,1,1
AG41.16.1,AG41,1,1624680,5/9/2016 12:00,5/28/2016 7:18,2016,0,1
AG41.18.1,AG41,1,7409760,6/28/2018 15:00,9/22/2018 9:16,2018,0,1
AG41.19.1,AG41,1,6392160,5/30/2019 9:19,8/12/2019 8:55,2019,1,1
AG41.20.1,AG41,1,3537960,7/28/2020 13:14,9/7/2020 12:00,2020,0,1
AG42.13.1,AG42,1,3800400,7/15/2013 9:20,8/28/2013 9:00,2013,0,1
AG42.14.1,AG42,1,6826980,6/26/2014 9:30,9/13/2014 9:53,2014,1,1
AG42.15.1,AG42,1,8467800,6/6/2015 8:45,9/12/2015 8:55,2015,1,1
AG42.16.1,AG42,1,9360,5/11/2016 14:41,5/11/2016 17:17,2016,0,1
AG42.16.2,AG42,2,260760,5/23/2016 8:30,5/26/2016 8:56,2016,0,1
AG42.16.3,AG42,3,85560,7/22/2016 8:44,7/23/2016 8:30,2016,0,1
AG42.18.1,AG42,1,6131760,6/27/2018 9:14,9/6/2018 8:30,2018,0,1
AG42.19.1,AG42,1,6236700,6/1/2019 11:18,8/12/2019 15:43,2019,1,1
AG42.20.1,AG42,1,3469920,7/29/2020 10:40,9/7/2020 14:32,2020,0,1
AG43.13.1,AG43,1,3891300,7/18/2013 13:45,9/1/2013 14:40,2013,0,0
AG43.14.1,AG43,1,9919320,5/26/2014 13:40,9/18/2014 9:02,2014,1,0
AG43.15.1,AG43,1,8056500,6/19/2015 9:35,9/20/2015 15:30,2015,1,0
AG43.16.1,AG43,1,1743960,5/13/2016 8:57,6/2/2016 13:23,2016,0,0
AG43.18.1,AG43,1,266880,5/26/2018 9:50,5/29/2018 11:58,2018,0,0
AG43.18.2,AG43,2,0,6/12/2018 10:13,6/12/2018 10:13,2018,0,0
AG43.18.3,AG43,3,3102480,7/14/2018 10:42,8/19/2018 8:30,2018,0,0
AG43.18.4,AG43,4,1133220,9/5/2018 8:30,9/18/2018 11:17,2018,0,0
AG43.19.1,AG43,1,7684980,5/27/2019 9:48,8/24/2019 8:31,2019,1,0
AG43.20.1,AG43,1,2762400,6/18/2020 11:06,7/20/2020 10:26,2020,0,0
AG44.14.1,AG44,1,5853120,7/13/2014 15:43,9/19/2014 9:35,2014,1,0
AG44.15.1,AG44,1,7940880,6/20/2015 11:12,9/20/2015 9:00,2015,1,0
AG44.16.1,AG44,1,2153820,5/4/2016 10:05,5/29/2016 8:22,2016,0,0
AG44.18.1,AG44,1,863280,6/30/2018 10:20,7/10/2018 10:08,2018,0,0
AG44.18.2,AG44,2,4653720,7/14/2018 13:48,9/6/2018 10:30,2018,0,0
AG44.19.1,AG44,1,8379120,5/23/2019 10:17,8/28/2019 9:49,2019,1,0
AG44.20.1,AG44,1,2751840,7/25/2020 12:30,8/26/2020 8:54,2020,0,0
AG45.18.1,AG45,1,7339800,6/28/2018 10:09,9/21/2018 8:59,2018,0,1
AG45.19.1,AG45,1,6238140,6/1/2019 9:55,8/12/2019 14:44,2019,1,1
AG45.20.1,AG45,1,1581960,7/29/2020 11:13,8/16/2020 18:39,2020,0,1
AG45.20.2,AG45,2,858840,8/25/2020 9:56,9/4/2020 8:30,2020,0,1
AG46.18.1,AG46,1,3834000,6/28/2018 9:47,8/11/2018 18:47,2018,0,1
AG46.18.2,AG46,2,0,8/13/2018 16:52,8/13/2018 16:52,2018,0,1
AG46.19.1,AG46,1,46500,6/1/2019 10:38,6/1/2019 23:33,2019,1,1
AG46.19.2,AG46,2,880260,6/16/2019 9:30,6/26/2019 14:01,2019,1,1
AG46.19.3,AG46,3,3733080,6/30/2019 10:15,8/12/2019 15:13,2019,1,1
AG46.20.1,AG46,1,3469440,7/29/2020 11:02,9/7/2020 14:46,2020,0,1
AG47.18.1,AG47,1,5613240,6/28/2018 9:16,9/1/2018 8:30,2018,0,1
AG47.19.1,AG47,1,900,6/1/2019 11:23,6/1/2019 11:38,2019,1,1
AG47.19.2,AG47,2,426960,6/16/2019 9:54,6/21/2019 8:30,2019,1,1
AG47.19.3,AG47,3,3732420,6/30/2019 10:39,8/12/2019 15:26,2019,1,1
AG47.20.1,AG47,1,3469680,7/29/2020 10:53,9/7/2020 14:41,2020,0,1
AG48.19.1,AG48,1,73800,5/25/2019 9:33,5/26/2019 6:03,2019,1,0
AG48.19.2,AG48,2,10560,6/8/2019 9:06,6/8/2019 12:02,2019,1,0
AG48.19.3,AG48,3,34440,6/23/2019 10:31,6/23/2019 20:05,2019,1,0
AG48.19.4,AG48,4,4145280,7/10/2019 9:06,8/27/2019 8:34,2019,1,0
